# {"t_start": 1558624500.1182334, "env_id": "HalfCheetah-v3"} 
r,l,t
-1295.906541,1000,3.646911
-9734.620647,1000,7.040291
-11896.78061,1000,9.977056
-11744.249627,1000,12.493263
-10931.739213,1000,15.128077
-11663.225783,1000,17.498456
-12522.38958,1000,20.034564
-14602.976338,1000,22.524084
-9935.035398,1000,25.001065
-582.141828,1000,27.401025
39.220405,1000,29.903726
-9725.350884,1000,32.455797
-11327.36636,1000,35.730641
-8646.281166,1000,38.291564
-11608.466443,1000,40.757776
-4698.442433,1000,43.104642
-1025.146083,1000,45.648547
-1655.01666,1000,48.006511
-12377.83852,1000,50.41286
-13935.356658,1000,52.851068
-8938.123179,1000,55.330239
-7531.838311,1000,57.687507
-12661.932033,1000,60.065442
-1369.386397,1000,62.447384
-11527.187224,1000,64.951792
-1713.110954,1000,67.40998
-11213.931477,1000,69.921043
-12129.126518,1000,72.158871
-4107.330202,1000,74.640496
-5309.337907,1000,77.069573
-1768.371873,1000,79.791285
-10844.900369,1000,82.226455
-2965.774972,1000,84.786188
-1089.468199,1000,87.091061
-2354.079424,1000,89.570186
-2404.47411,1000,91.941717
-8933.183173,1000,94.448391
-12670.842544,1000,96.820534
-15136.037811,1000,99.374616
-3787.448886,1000,101.608138
-10815.629294,1000,104.201562
-13934.532705,1000,106.652214
-11437.507986,1000,109.236476
-164.973485,1000,111.419017
-909.190016,1000,113.867936
-9327.021315,1000,116.182128
-9386.659224,1000,118.675103
-2970.255496,1000,120.981276
-10904.215976,1000,123.360371
-13279.977295,1000,125.719647
-13257.155053,1000,128.289402
-7198.143547,1000,130.626185
-12273.520811,1000,133.208904
-10783.461822,1000,135.45592
487.999121,1000,137.933222
-11349.707045,1000,140.314538
-4789.932142,1000,142.90823
-10407.080154,1000,145.391659
776.242513,1000,147.816229
357.529733,1000,150.090058
-12081.170619,1000,152.582689
-12826.377326,1000,154.964086
-5768.901904,1000,157.400172
-9874.547318,1000,159.806929
-1409.894176,1000,162.38716
-4176.095925,1000,164.64705
-9305.508041,1000,167.047697
-11746.522476,1000,169.412112
-11192.51538,1000,171.96916
-10641.878745,1000,174.324143
-8504.842424,1000,176.780123
-12778.627097,1000,179.105896
-11835.807386,1000,181.689518
-6846.447333,1000,184.13459
-10027.40979,1000,186.579859
-604.091436,1000,188.996278
-11081.038807,1000,191.538835
-12775.40596,1000,193.835107
-8815.15265,1000,196.322131
-9992.025305,1000,198.571214
-949.601179,1000,201.010924
-10264.14592,1000,203.463593
-1933.257507,1000,206.084491
-12063.599874,1000,208.413434
-12950.257494,1000,211.083241
-11802.306126,1000,213.522629
-789.079412,1000,216.06581
1182.59726,1000,218.314155
-1675.90409,1000,220.889283
-12571.021,1000,223.252595
-10882.867999,1000,225.743814
-6434.63196,1000,228.050668
1318.405141,1000,230.565188
-10894.462573,1000,233.011213
-7193.669746,1000,235.67083
-1449.285989,1000,238.021132
1285.526163,1000,240.733399
-9769.20045,1000,243.068588
-12307.712858,1000,245.728051
-7823.997769,1000,248.129462
-4911.914751,1000,250.733449
-12408.190225,1000,253.163987
-1940.576715,1000,255.777572
-11123.743856,1000,258.237474
-8460.743043,1000,260.846357
-829.307783,1000,263.155406
-10310.468849,1000,265.617664
-9833.555811,1000,268.023302
-12419.809522,1000,270.443923
-10041.86775,1000,272.833394
-1224.381493,1000,275.499782
-470.265564,1000,277.792937
-1881.711769,1000,280.4146
-80.30623,1000,282.745048
-10288.199019,1000,285.34268
-1547.429384,1000,287.797179
-2669.948275,1000,290.491381
-4548.542991,1000,292.887121
2329.458488,1000,295.574273
-4007.586722,1000,297.929461
-572.96034,1000,300.473956
-11374.53196,1000,302.874575
-9208.220671,1000,305.378022
-10679.622126,1000,307.842403
18.245909,1000,310.563344
-2280.408413,1000,312.983683
-13109.099775,1000,315.648503
-11613.578408,1000,317.986147
-11173.476912,1000,320.624673
-221.952403,1000,323.100498
1268.047938,1000,325.767461
-11919.555583,1000,328.193641
1563.779046,1000,330.784497
-11982.30612,1000,333.113366
-11545.070651,1000,335.844742
-11319.176118,1000,338.074196
-10263.864309,1000,340.685339
-12665.125939,1000,343.084369
499.000881,1000,345.814376
1096.397481,1000,347.977271
-88.792418,1000,350.668405
587.435203,1000,353.021358
-2278.080644,1000,355.613969
-11879.745908,1000,357.882513
-1553.44835,1000,360.592229
-10494.067504,1000,362.90993
-6042.667055,1000,365.533893
794.0276,1000,367.839051
-11834.681467,1000,370.447975
-14345.189143,1000,372.62679
-8241.870283,1000,375.420961
-12768.795435,1000,377.553573
-2625.756202,1000,380.22238
150.961384,1000,382.370198
164.404161,1000,385.186589
-375.366974,1000,387.551541
-11354.184292,1000,390.294138
-602.569281,1000,392.557572
-3652.101511,1000,395.345448
-11068.533697,1000,397.740144
-8016.839924,1000,400.349567
-5004.914092,1000,402.909419
-2116.365337,1000,405.607457
642.725336,1000,407.760547
-9215.887345,1000,410.596141
-10579.403837,1000,412.900532
213.244381,1000,415.626202
508.393275,1000,417.973062
-12296.722941,1000,420.706956
-4011.529963,1000,423.013253
-12411.018415,1000,425.874465
-1464.627704,1000,428.249602
-9971.967741,1000,431.037112
-7516.611103,1000,433.366305
-246.912944,1000,436.169787
-5117.670782,1000,438.505067
-418.552039,1000,441.272209
-10257.833201,1000,443.610104
-10010.318494,1000,446.284175
655.564401,1000,448.717064
-9644.284638,1000,451.472986
-7568.66816,1000,453.870981
-9976.503241,1000,456.507973
547.859156,1000,458.830571
-6317.315142,1000,461.534173
-2189.65693,1000,463.931946
-10623.347365,1000,466.767022
-13551.802767,1000,469.121432
-12167.324897,1000,471.945291
-8950.831226,1000,474.343399
-3907.670389,1000,477.10654
-10705.126202,1000,479.459836
-5833.182731,1000,482.371489
-7652.47729,1000,484.719721
708.463002,1000,487.391861
-8279.685474,1000,489.638601
-11723.695348,1000,492.377242
-9343.747173,1000,494.644159
-320.335516,1000,497.282839
-7867.365081,1000,499.58754
-2667.425113,1000,502.391349
745.255246,1000,504.659502
-8632.431746,1000,507.386192
712.891286,1000,509.766037
77.89064,1000,512.604905
-99.299211,1000,515.002377
-122.263031,1000,517.867023
-1004.731163,1000,520.213235
668.297313,1000,522.873525
-11710.4022,1000,525.254633
565.967976,1000,528.003688
-2929.961024,1000,530.285476
-8160.841682,1000,533.170631
-134.849057,1000,535.629817
-1251.423012,1000,538.505152
-13616.84932,1000,540.904434
-8241.321107,1000,543.786007
-10899.683612,1000,546.206681
-10872.167642,1000,549.055295
-12883.118218,1000,551.415398
-10686.68067,1000,554.330194
-9461.379954,1000,556.570151
-2349.194293,1000,559.271976
1209.829805,1000,561.661581
-515.327689,1000,564.598912
-11412.421842,1000,566.826788
-8520.915003,1000,569.707671
-1019.686122,1000,571.833954
586.148092,1000,574.681504
-645.498348,1000,577.079309
183.048126,1000,580.08265
-5782.754543,1000,582.393112
-11379.986211,1000,585.039693
-9887.366918,1000,587.279285
-8712.78393,1000,590.172671
-6465.640594,1000,592.4972
-1600.475442,1000,595.246624
-3717.21295,1000,597.651434
337.159918,1000,600.415207
59.540429,1000,602.639823
-4323.718647,1000,605.597433
-6931.193084,1000,608.010835
527.514488,1000,610.805195
-4400.756893,1000,613.068633
-2104.733179,1000,615.98524
-10645.652313,1000,618.402583
1792.367559,1000,621.260171
1409.553255,1000,623.755718
-5332.141691,1000,626.530383
-8254.271799,1000,628.850221
-3178.231489,1000,631.679795
-10251.877364,1000,633.999816
-2113.724156,1000,636.861887
-2635.617388,1000,639.197333
-10113.424698,1000,642.205011
-486.697733,1000,644.574899
-1030.641283,1000,647.606677
-8937.583311,1000,650.049429
386.774393,1000,653.049567
-2956.046605,1000,655.439443
-3466.166925,1000,658.286796
-3150.780765,1000,660.654077
-535.213115,1000,663.4842
-12609.541315,1000,665.79361
1043.368963,1000,668.668141
-2404.842036,1000,671.108116
-9707.131935,1000,673.994687
1114.546686,1000,676.350919
382.602499,1000,679.337078
-571.095611,1000,681.69027
-9025.754502,1000,684.658328
-2250.920656,1000,686.916
694.961784,1000,689.632031
1512.084751,1000,691.909615
869.418233,1000,694.827218
-456.306596,1000,697.145703
-1355.7315,1000,700.237793
-316.908856,1000,702.626072
493.196546,1000,705.443849
-12322.146098,1000,707.725294
-241.714825,1000,710.673346
-4721.142923,1000,712.855744
1116.828923,1000,715.7267
-5630.646306,1000,718.226823
-12586.612209,1000,721.132329
-11481.067449,1000,723.47811
778.04337,1000,726.220285
