obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,1.0,0.6930366156364791,-45.01445770263672,4.0926337242126465,0.9822672605514526,0.0027375700883567333,-48.77473831176758,0.0630529597401619,-0.9992718696594238,0.0019450498512014747,-12.009234428405762,0.26804110407829285,0.8630133867263794,1000.0,2.0,-5515.26220703125,-5515.26220703125,6.150984048843384,2.0,1,2000,325.1512252541242,46.8291130065918,15.233853340148926,1.9154646396636963
0.0,1.0,0.6861425008755215,-126.51941680908203,3.94759464263916,0.9744164347648621,0.00781857967376709,-130.08969116210938,0.02347095124423504,0.8587276935577393,0.4674570560455322,-49.950355529785156,-0.3642451763153076,0.8787434697151184,1000.0,4.0,-8667.888671875,-8667.888671875,11.555326223373413,4.0,2,4000,346.1607160781876,128.1151123046875,50.53220748901367,1.327483057975769
0.0,1.0,0.6793169666444591,-160.64413452148438,5.871887683868408,0.004089057445526123,0.994105875492096,-153.98507690429688,3.635026216506958,0.8977319002151489,0.31970518827438354,-83.93553924560547,0.06024560704827309,0.9534223675727844,1000.0,6.0,-9544.4189453125,-9544.4189453125,16.571442127227783,6.0,3,6000,362.06866933697177,153.95489501953125,48.16402816772461,1.3677606582641602
0.0,1.0,0.6732320581958647,-156.3644561767578,5.969813346862793,0.0007835626602172852,0.9987087845802307,-149.79995727539062,5.106029033660889,0.003423541784286499,0.9821196794509888,-100.87984466552734,0.2810024917125702,0.9182538986206055,1000.0,8.0,-10548.986328125,-10548.986328125,21.57307457923889,8.0,4,8000,370.83263076923197,147.77828979492188,38.79020309448242,1.3944194316864014
0.0,1.0,0.6672016546583001,-144.64608764648438,6.200666904449463,0.0003561079502105713,0.999408483505249,-137.91519165039062,4.042219161987305,-0.012966454029083252,0.959758460521698,-109.16217803955078,0.23031194508075714,0.9361795783042908,1000.0,10.0,-9490.908203125,-9490.908203125,26.46173930168152,10.0,5,10000,377.9041084939019,137.49095153808594,51.261741638183594,1.4020485877990723
0.0,1.0,0.6612252678099039,-118.89424133300781,6.107537269592285,0.00022083520889282227,0.9996344447135925,-111.7153091430664,1.6173534393310547,-0.34447145462036133,0.7797657251358032,-112.16239929199219,0.19311335682868958,0.9411484003067017,1000.0,12.0,-8716.267578125,-8716.267578125,31.60644817352295,12.0,6,12000,379.66936158465677,112.99169158935547,48.92632293701172,1.2146581411361694
0.0,1.0,0.6559578800414154,-84.61158752441406,10.01038932800293,0.0002275705337524414,0.9996318221092224,-78.1882553100586,6.974513053894043,-0.1716921329498291,0.7467671632766724,-109.9344253540039,0.18911997973918915,0.9304664134979248,1000.0,14.0,-8897.77734375,-8897.77734375,37.35595202445984,14.0,7,14000,374.77294089126985,81.61271667480469,63.411048889160156,1.4153980016708374
0.0,1.0,0.6513833479558239,-58.5806884765625,8.448680877685547,0.00029543042182922363,0.9995409846305847,-54.036319732666016,7.446200847625732,0.1664523184299469,0.8780049681663513,-104.54053497314453,0.16256748139858246,0.9140821099281311,1000.0,16.0,-8804.73828125,-8804.73828125,42.1764612197876,16.0,8,16000,379.35852220084803,54.179927825927734,65.84786987304688,1.413394570350647
0.0,1.0,0.6461943619223893,-34.875946044921875,13.390859603881836,0.00020316243171691895,0.9992374181747437,-28.508081436157227,11.30892562866211,0.8838041424751282,0.43447819352149963,-97.54179382324219,0.16783158481121063,0.9140709638595581,1000.0,18.0,-7975.33154296875,-7975.33154296875,47.065083265304565,18.0,9,18000,382.4491268513114,29.595537185668945,63.26360321044922,1.8780720233917236
0.0,1.0,0.6397662194715239,-15.511054039001465,9.917763710021973,-0.08940854668617249,0.9156566858291626,-8.97976303100586,7.060695648193359,0.6829473972320557,0.5075505971908569,-89.71271514892578,0.24725615978240967,0.9016307592391968,1000.0,20.0,-8493.458984375,-8493.458984375,51.920876264572144,20.0,10,20000,385.20151120112865,9.554101943969727,41.514915466308594,0.7501880526542664
0.0,1.0,0.633402022201557,-1.5410938262939453,6.668166637420654,-0.08995366096496582,0.9141861200332642,5.50294303894043,2.0529282093048096,0.9100698232650757,0.3337409496307373,-81.76463317871094,0.2875369191169739,0.8803038001060486,1000.0,22.0,-8469.9599609375,-8469.9599609375,56.75383377075195,22.0,11,22000,387.63901111712534,-4.251535415649414,23.610288619995117,0.14936701953411102
0.0,1.0,0.6271011340055272,6.247524738311768,5.65932559967041,-0.09265995025634766,0.9106155633926392,13.166646957397461,1.2008451223373413,0.9227698445320129,0.0750558078289032,-74.23394012451172,0.31088992953300476,0.8773514628410339,1000.0,24.0,-8348.7685546875,-8348.7685546875,61.495299100875854,24.0,12,24000,390.2737339423426,-12.613088607788086,20.51738929748535,0.15755847096443176
0.0,1.0,0.6208629251042699,9.579839706420898,5.581515312194824,-0.08730775117874146,0.8827705979347229,16.680912017822266,1.796669602394104,-0.8630712032318115,0.158625990152359,-67.44271850585938,0.33031824231147766,0.8730621933937073,1000.0,26.0,-8215.7978515625,-8215.7978515625,66.47380137443542,26.0,13,26000,391.13153546833433,-15.992239952087402,22.721393585205078,0.6573649644851685
0.0,1.0,0.6146867719834684,9.653831481933594,5.435317516326904,-0.09494534134864807,0.8968130946159363,16.59355926513672,2.840970277786255,-0.14739465713500977,0.9046856164932251,-61.43435287475586,0.3094295859336853,0.8783439993858337,1000.0,28.0,-8462.634765625,-8462.634765625,71.20305180549622,28.0,14,28000,393.24157167430087,-16.9351749420166,22.55297088623047,0.17559397220611572
0.0,1.0,0.6085720573313358,7.90125846862793,5.6933369636535645,-0.08779531717300415,0.9034324884414673,14.966840744018555,3.6436123847961426,-0.06221097707748413,0.9252212047576904,-56.22505187988281,0.2706931531429291,0.8808960914611816,1000.0,30.0,-8212.3486328125,-8212.3486328125,76.1195936203003,30.0,15,30000,394.11666002377757,-15.548027038574219,24.714521408081055,0.16021716594696045
0.0,1.0,0.6025181699769118,4.801012992858887,6.056227207183838,-0.10996383428573608,0.8723691701889038,12.20057487487793,4.056961536407471,0.4508364796638489,0.6416676640510559,-51.81296920776367,0.250828355550766,0.8879329562187195,1000.0,32.0,-8093.24169921875,-8093.24169921875,81.2904736995697,32.0,16,32000,393.6500618542882,-12.448824882507324,25.69613265991211,1.780106544494629
0.0,1.0,0.5965245048289768,3.6693549156188965,6.0715651512146,-0.12208479642868042,0.8582977652549744,10.959479331970215,3.618130683898926,-0.4112336337566376,0.6896129846572876,-48.111961364746094,0.24984680116176605,0.886888861656189,1000.0,34.0,-7736.44140625,-7736.44140625,86.143887758255,34.0,17,34000,394.68847860005997,-10.8994722366333,24.632776260375977,1.859798550605774
0.0,1.0,0.5905904628155725,7.300170421600342,5.525283336639404,-0.1892651915550232,0.790363073348999,15.436320304870605,1.9131852388381958,0.20008093118667603,0.911293089389801,-44.77597427368164,0.215313121676445,0.8921716809272766,1000.0,36.0,-7438.8212890625,-7438.8212890625,90.98171377182007,36.0,18,36000,395.68390732105934,-14.424127578735352,19.308914184570312,0.861825168132782
0.0,1.0,0.5847154508241232,15.256715774536133,5.759500980377197,-0.22933730483055115,0.7483620047569275,23.505596160888672,1.8550344705581665,-0.6133801937103271,0.7063412666320801,-41.43368911743164,0.1919776201248169,0.8972687125205994,1000.0,38.0,-7615.83154296875,-7615.83154296875,95.87822723388672,38.0,19,38000,396.33607228992935,-22.626005172729492,21.572162628173828,1.7053505182266235
0.0,1.0,0.5788988816421551,23.234912872314453,6.055675506591797,-0.21140915155410767,0.7421585321426392,31.414276123046875,1.8519312143325806,-0.02123585343360901,0.973342776298523,-38.055870056152344,0.18588057160377502,0.8957514762878418,1000.0,40.0,-7708.125,-7708.125,100.67354726791382,40.0,20,40000,397.32383615679555,-30.10555648803711,19.76824188232422,1.4310492277145386
0.0,1.0,0.5731401738986026,30.36212921142578,5.415953636169434,-0.2217927873134613,0.7401382923126221,38.51251983642578,1.539692759513855,0.8447392582893372,0.36232301592826843,-34.60542678833008,0.20023173093795776,0.8961795568466187,1000.0,42.0,-7930.36181640625,-7930.36181640625,105.69654631614685,42.0,21,42000,397.3639770061609,-38.873504638671875,21.95950698852539,0.4889594614505768
0.0,1.0,0.567438752005701,37.94683074951172,5.503653049468994,-0.25094810128211975,0.7014415860176086,47.08000946044922,1.5805550813674927,0.10030731558799744,0.8227659463882446,-31.094545364379883,0.20861835777759552,0.894562840461731,1000.0,44.0,-7833.583984375,-7833.583984375,110.48310041427612,44.0,22,44000,398.2509527250244,-46.90312957763672,21.841779708862305,1.708243727684021
0.0,1.0,0.5617940461014551,46.160316467285156,5.300135135650635,-0.23726481199264526,0.7232698798179626,54.63703918457031,1.3442476987838745,-0.6688419580459595,0.5357735753059387,-27.527856826782227,0.20385503768920898,0.8949723839759827,1000.0,46.0,-7715.51953125,-7715.51953125,115.22234749794006,46.0,23,46000,399.2281098145686,-54.60002899169922,24.38921546936035,1.2732837200164795
0.0,1.0,0.5562054919926807,52.0787467956543,5.513211727142334,-0.24247658252716064,0.7213249206542969,60.72792053222656,1.3299634456634521,-0.9843231439590454,0.01828928105533123,-23.950536727905273,0.1814088374376297,0.899905800819397,1000.0,48.0,-7651.47607421875,-7651.47607421875,120.04652070999146,48.0,24,48000,399.8449910594116,-61.4365119934082,22.853261947631836,0.9453517198562622
0.0,1.0,0.5506725310986144,57.151763916015625,5.881353378295898,-0.2738131880760193,0.6857341527938843,66.17520141601562,1.4050495624542236,0.9993312954902649,0.001335785840637982,-20.444726943969727,0.17438003420829773,0.9043667316436768,1000.0,50.0,-7829.10107421875,-7829.10107421875,124.78605008125305,50.0,25,50000,400.68581357806465,-66.7311782836914,23.745223999023438,1.032749891281128
0.0,1.0,0.5451946103950821,61.192718505859375,5.62394380569458,-0.24269135296344757,0.7133747935295105,69.74837493896484,1.169061303138733,-0.667542576789856,0.6150473356246948,-17.01712417602539,0.20102107524871826,0.8976239562034607,1000.0,52.0,-7921.353515625,-7921.353515625,129.67668390274048,52.0,26,52000,400.9972990904117,-70.57740783691406,25.628246307373047,0.9343055486679077
0.0,1.0,0.5397711823592235,65.67742919921875,5.522866725921631,-0.29254135489463806,0.6567225456237793,74.52108001708984,1.1384706497192383,-0.019524604082107544,0.9805532097816467,-13.694408416748047,0.17800968885421753,0.899983823299408,1000.0,54.0,-8054.95068359375,-8054.95068359375,134.4959135055542,54.0,27,54000,401.49918754051953,-74.67807006835938,23.213485717773438,0.22439447045326233
0.0,1.0,0.5344017049147672,69.07327270507812,5.804750442504883,-0.25410374999046326,0.7052252888679504,77.76032257080078,1.1320465803146362,0.5677255988121033,0.4918278455734253,-10.483475685119629,0.16804662346839905,0.901843249797821,1000.0,56.0,-7961.23291015625,-7961.23291015625,139.3545904159546,56.0,28,56000,401.8525678475864,-77.6725845336914,26.095796585083008,0.9322899580001831
0.0,1.0,0.5290856413778496,71.29683685302734,6.013706684112549,-0.29939258098602295,0.6576842665672302,80.33512878417969,0.9737883806228638,-0.15253031253814697,0.778425395488739,-7.391948699951172,0.17138682305812836,0.8988558053970337,1000.0,58.0,-7948.72509765625,-7948.72509765625,144.43549871444702,58.0,29,58000,401.56333114941225,-80.1963882446289,37.144287109375,0.5141538381576538
0.0,1.0,0.5238224604033724,74.14645385742188,5.483541965484619,-0.31703129410743713,0.6583495736122131,82.70706176757812,0.8727449178695679,-0.9999979734420776,7.997132343007252e-06,-4.43707799911499,0.16411742568016052,0.8966099619865417,1000.0,60.0,-7664.87158203125,-7664.87158203125,149.14073395729065,60.0,30,60000,402.3045777499135,-82.16009521484375,26.071924209594727,0.461974561214447
0.0,1.0,0.5186116359318954,77.17842864990234,5.458291053771973,-0.3473004102706909,0.6255959272384644,86.16242980957031,0.7111970782279968,0.6410168409347534,0.42353811860084534,-1.5940150022506714,0.12719839811325073,0.9049372673034668,1000.0,62.0,-7819.3525390625,-7819.3525390625,154.0315339565277,62.0,31,62000,402.51498123428576,-85.3213119506836,27.242599487304688,0.7304112911224365
0.0,1.0,0.5134526471370552,78.85628509521484,6.057621002197266,-0.3575074076652527,0.6042675971984863,88.37149047851562,1.0190045833587646,-0.002461940050125122,0.9084727168083191,1.1538491249084473,0.12941940128803253,0.8997159004211426,1000.0,64.0,-7819.4267578125,-7819.4267578125,158.86752367019653,64.0,32,64000,402.85137277560756,-87.70674133300781,30.848569869995117,0.16697703301906586
0.0,1.0,0.5083449783735086,83.67745971679688,6.342275142669678,-0.3860679268836975,0.5942389369010925,93.61470794677734,1.7543915510177612,-0.7717399001121521,0.12216231226921082,3.8709828853607178,0.12275217473506927,0.9017588496208191,1000.0,66.0,-7667.11083984375,-7667.11083984375,163.71307969093323,66.0,33,66000,403.1443310735985,-93.36558532714844,30.298358917236328,0.8987974524497986
0.0,1.0,0.5032881191253936,93.36880493164062,6.6492414474487305,-0.35013797879219055,0.61679607629776,102.38035583496094,2.744516372680664,-0.8334558010101318,0.5109537839889526,6.631425380706787,0.09610649198293686,0.9042249321937561,1000.0,68.0,-7751.19580078125,-7751.19580078125,168.4523446559906,68.0,34,68000,403.6749986405235,-102.16891479492188,29.668746948242188,0.5190188884735107
0.0,1.0,0.4982815639553028,98.52565002441406,7.34511137008667,-0.26415178179740906,0.6694405674934387,107.05913543701172,4.306419372558594,-0.6421911716461182,0.5214754939079285,9.449210166931152,0.0811755508184433,0.9075542688369751,1000.0,70.0,-7841.65283203125,-7841.65283203125,173.38326716423035,70.0,35,70000,403.72984743501985,-106.88909149169922,41.4103889465332,0.5666369795799255
0.0,1.0,0.4933248124537641,101.47172546386719,7.698489665985107,-0.2712773084640503,0.6664720773696899,109.57167053222656,4.965109348297119,-0.1457650363445282,0.932926595211029,12.196090698242188,0.06087000295519829,0.9087009429931641,1000.0,72.0,-7919.43310546875,-7919.43310546875,178.16223120689392,72.0,36,72000,404.1260569777484,-109.31961059570312,41.075279235839844,0.5292417407035828
0.0,1.0,0.488417369189225,103.91641235351562,6.748844623565674,-0.2262505739927292,0.7121628522872925,111.66072082519531,3.9416418075561523,0.17929786443710327,0.9675875902175903,14.849839210510254,0.051732443273067474,0.9069098830223083,1000.0,74.0,-7957.857421875,-7957.857421875,183.19902086257935,74.0,37,74000,403.9322898756574,-111.1253890991211,41.01567077636719,0.6185977458953857
